,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,East London,0,ZA,2019-08-04T10:16:01,56,-33.02,27.91,69.8,5.82
1,Bredasdorp,0,ZA,2019-08-04T10:16:02,37,-34.53,20.04,71.6,10.29
2,Avera,90,US,2019-08-04T10:16:02,88,33.19,-82.53,82.4,3.36
3,Ust-Kuyga,0,RU,2019-08-04T10:16:02,74,70.0,135.55,43.0,3.2
4,Vila,20,IT,2019-08-04T10:16:02,40,45.18,8.4,91.0,5.82
5,Muros,40,ES,2019-08-04T10:16:02,47,42.77,-9.06,79.0,4.7
6,Klaksvik,0,FO,2019-08-04T10:16:02,62,62.23,-6.59,59.0,9.17
7,Yellowknife,75,CA,2019-08-04T10:16:03,100,62.45,-114.38,55.4,4.7
8,Tiksi,33,RU,2019-08-04T10:16:03,53,71.64,128.87,50.92,9.08
9,Vila Velha,75,BR,2019-08-04T10:16:03,61,-3.71,-38.6,82.99,16.11
10,Simbahan,100,PH,2019-08-04T10:16:03,81,6.3,120.58,82.42,18.28
11,Dalby,2,AU,2019-08-04T10:16:03,58,-27.18,151.26,46.4,9.17
12,Rikitea,23,PF,2019-08-04T10:16:03,77,-23.12,-134.97,73.06,13.91
13,Saint-Augustin,20,CA,2019-08-04T10:16:03,72,45.63,-73.98,66.99,2.24
14,Singkang,75,MY,2019-08-04T10:16:04,79,2.1,102.8,84.2,3.36
15,Severo-Kurilsk,0,RU,2019-08-04T10:16:04,94,50.68,156.12,49.3,10.51
16,Ushuaia,20,AR,2019-08-04T10:12:51,80,-54.81,-68.31,35.6,4.7
17,Butaritari,0,KI,2019-08-04T10:16:04,63,3.07,172.79,84.58,4.9
18,La Ligua,0,CL,2019-08-04T10:16:04,62,-32.45,-71.23,53.6,3.36
19,Amalner,100,IN,2019-08-04T10:16:04,88,21.04,75.07,75.94,9.15
20,Chanute,1,US,2019-08-04T10:16:04,74,37.68,-95.46,79.0,3.94
21,Narsaq,20,GL,2019-08-04T10:16:05,55,60.91,-46.05,60.8,5.82
22,Mount Gambier,100,AU,2019-08-04T10:15:27,81,-37.83,140.78,42.8,8.05
23,Port Hardy,90,CA,2019-08-04T10:16:05,100,50.7,-127.42,53.6,2.24
24,Cantapoy,100,PH,2019-08-04T10:16:05,77,9.49,125.44,83.86,11.32
25,New Norfolk,20,AU,2019-08-04T10:16:05,95,-42.78,147.06,37.4,8.05
26,Dikson,53,RU,2019-08-04T10:16:05,89,73.51,80.55,40.48,21.3
27,Castro,90,CL,2019-08-04T10:16:06,100,-42.48,-73.76,42.8,6.93
28,Buin,0,CL,2019-08-04T10:16:06,65,-33.73,-70.74,46.4,3.36
29,Kabalo,63,CD,2019-08-04T10:16:06,31,-6.05,26.92,90.88,4.07
30,Padang,100,ID,2019-08-04T10:16:06,76,-0.92,100.36,81.52,10.85
31,Ilulissat,20,GL,2019-08-04T10:16:06,75,69.22,-51.1,42.8,4.7
32,Hermanus,0,ZA,2019-08-04T10:16:07,67,-34.42,19.24,64.0,7.0
33,Whitecourt,75,CA,2019-08-04T10:15:30,87,54.14,-115.68,50.0,8.05
34,Haines Junction,100,CA,2019-08-04T10:16:07,61,60.75,-137.51,53.62,2.86
35,Cape Town,75,ZA,2019-08-04T10:14:57,77,-33.93,18.42,61.0,16.11
36,Alofi,6,NU,2019-08-04T10:16:07,94,-19.06,-169.92,68.0,2.24
37,Lebu,75,ET,2019-08-04T10:16:07,68,8.96,38.73,66.2,12.75
38,Punta Arenas,40,CL,2019-08-04T10:16:07,76,-53.16,-70.91,37.0,25.28
39,Bluff,0,AU,2019-08-04T10:16:07,72,-23.58,149.07,56.32,6.62
40,Torbay,20,CA,2019-08-04T10:16:08,50,47.66,-52.73,80.01,8.05
41,Albany,20,US,2019-08-04T10:15:07,60,42.65,-73.75,75.99,5.82
42,Newport,75,GB,2019-08-04T10:16:08,72,51.59,-3.0,75.99,10.29
43,Port Elizabeth,20,US,2019-08-04T10:16:08,61,39.31,-74.98,84.0,5.82
44,Hilo,90,US,2019-08-04T10:16:08,88,19.71,-155.08,75.2,5.82
45,Lompoc,90,US,2019-08-04T10:16:08,100,34.64,-120.46,59.0,9.55
46,San Juan,46,AR,2019-08-04T10:12:19,13,-31.54,-68.53,53.62,4.97
47,Busselton,100,AU,2019-08-04T10:16:08,59,-33.64,115.35,57.99,16.96
48,Kodiak,1,US,2019-08-04T10:16:09,78,39.95,-94.76,77.0,5.82
49,Columbus,75,US,2019-08-04T10:13:12,94,32.46,-84.99,80.01,6.93
50,Perpignan,0,FR,2019-08-04T10:16:09,29,42.7,2.88,97.0,8.05
51,Tadine,87,NC,2019-08-04T10:16:09,66,-21.55,167.88,69.1,16.17
52,Djambala,77,CG,2019-08-04T10:16:09,34,-2.55,14.76,89.08,1.54
53,Khatanga,86,RU,2019-08-04T10:16:09,90,71.98,102.47,58.66,6.73
54,Nikolskoye,20,RU,2019-08-04T10:16:09,51,59.7,30.79,63.0,20.13
55,Mataura,100,NZ,2019-08-04T10:16:10,84,-46.19,168.86,37.0,8.99
56,Kalakamati,20,BW,2019-08-04T10:16:10,28,-20.59,27.31,84.2,3.36
57,Jamestown,23,AU,2019-08-04T10:16:10,54,-33.21,138.6,45.88,7.94
58,Takoradi,92,GH,2019-08-04T10:16:10,69,4.89,-1.75,80.26,7.72
59,Barrow,0,AR,2019-08-04T10:16:10,32,-38.31,-60.23,58.3,21.92
60,Laguna,40,BZ,2019-08-04T10:16:10,83,16.17,-88.94,84.2,1.5
61,Batagay-Alyta,0,RU,2019-08-04T10:16:10,72,67.8,130.41,39.76,2.01
62,Hobart,20,AU,2019-08-04T10:16:11,95,-42.88,147.33,37.4,8.05
63,Camopi,0,GF,2019-08-04T10:16:11,57,3.17,-52.33,86.92,5.82
64,Carnarvon,0,ZA,2019-08-04T10:16:11,9,-30.97,22.13,62.44,10.87
65,Bambous Virieux,40,MU,2019-08-04T10:16:11,64,-20.34,57.76,73.4,8.05
66,Taseyevo,37,RU,2019-08-04T10:16:11,65,57.22,94.9,71.8,7.2
67,Sao Joao da Barra,75,BR,2019-08-04T10:16:11,93,-21.64,-41.05,66.2,16.11
68,Jesus Carranza,1,MX,2019-08-04T10:16:12,69,31.49,-106.24,81.0,9.17
69,Saint-Philippe,1,CA,2019-08-04T10:16:12,55,45.36,-73.48,66.99,4.7
70,Moron,13,HT,2019-08-04T10:16:12,69,18.56,-74.26,84.4,3.6
71,Monteria,75,CO,2019-08-04T10:16:12,78,10.74,-74.19,82.4,4.25
72,Muroto,65,JP,2019-08-04T10:16:12,75,33.37,134.14,73.06,4.79
73,Evensk,100,RU,2019-08-04T10:16:13,82,61.92,159.24,47.68,4.12
74,Guerrero Negro,0,MX,2019-08-04T10:16:13,77,27.97,-114.04,68.92,12.39
75,Pisco,90,PE,2019-08-04T10:16:13,30,-13.71,-76.2,71.6,5.82
76,Namibe,1,AO,2019-08-04T10:16:13,85,-15.19,12.15,63.7,14.88
77,Chokurdakh,0,RU,2019-08-04T10:16:13,77,70.62,147.9,39.94,9.75
78,Lagoa,0,PT,2019-08-04T10:16:13,61,37.14,-8.45,89.01,8.05
79,Thompson,40,CA,2019-08-04T10:16:13,77,55.74,-97.86,64.4,17.22
80,Puerto Ayora,75,EC,2019-08-04T10:16:13,77,-0.74,-90.35,69.8,11.41
81,Belmonte,0,PT,2019-08-04T10:16:14,26,40.36,-7.35,93.99,9.15
82,Livingston,75,US,2019-08-04T10:14:26,61,40.8,-74.31,84.0,3.36
83,Kawalu,56,ID,2019-08-04T10:16:14,94,-7.38,108.21,62.8,3.15
84,Abu Kamal,0,SY,2019-08-04T10:16:14,15,34.45,40.92,102.58,17.05
85,Kavaratti,100,IN,2019-08-04T10:16:14,79,10.57,72.64,82.96,18.03
86,Port Alfred,0,ZA,2019-08-04T10:16:14,66,-33.59,26.89,68.0,5.01
87,Bethel,90,US,2019-08-04T10:14:07,100,60.79,-161.76,57.2,18.34
88,Mayumba,21,GA,2019-08-04T10:16:14,88,-3.44,10.65,70.36,12.48
89,Fortuna,90,US,2019-08-04T10:16:15,100,40.6,-124.16,60.01,5.82
90,Provideniya,89,RU,2019-08-04T10:16:15,77,64.42,-173.23,44.44,2.75
91,Saint George,20,GR,2019-08-04T10:16:15,28,39.45,22.34,93.2,9.17
92,Wote,9,KE,2019-08-04T10:16:15,33,-1.78,37.63,79.0,10.4
93,Mahebourg,40,MU,2019-08-04T10:16:15,64,-20.41,57.7,73.4,8.05
94,Alice Springs,0,AU,2019-08-04T10:16:16,43,-23.7,133.88,50.0,4.7
95,Penha,20,BR,2019-08-04T10:16:16,66,-26.78,-48.65,60.01,9.17
96,Ulaangom,0,MN,2019-08-04T10:16:16,55,49.98,92.07,69.1,2.64
97,Rio Grande,0,BR,2019-08-04T10:13:50,76,-32.03,-52.1,48.99,8.05
98,Esperance,0,AU,2019-08-04T10:16:16,100,-33.86,121.89,48.2,5.82
99,Phitsanulok,75,TH,2019-08-04T10:16:16,83,16.82,100.26,78.8,1.12
100,Vila Franca do Campo,20,PT,2019-08-04T10:16:16,88,37.72,-25.43,75.2,14.99
101,Yamada,20,JP,2019-08-04T10:16:17,83,36.58,137.08,82.99,3.36
102,Egvekinot,97,RU,2019-08-04T10:16:17,95,66.32,-179.17,38.5,7.38
103,Garden City,1,US,2019-08-04T10:14:58,55,43.62,-116.24,71.01,3.36
